,device_name,mac_addr,eddystone_instance_id,rssi,timestamp
15:06.4,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-84,15:06.4
15:06.4,AgileVision Beacon,D9:77:0F:A8:70:38,2,-87,15:06.4
15:06.6,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-84,15:06.6
15:06.6,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-89,15:06.6
15:06.7,AgileVision Beacon,E6:19:C3:98:50:7C,4,-84,15:06.7
15:06.7,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-67,15:06.7
15:06.8,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-89,15:06.8
15:07.0,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-80,15:07.0
15:07.1,AgileVision Beacon,D9:77:0F:A8:70:38,2,-84,15:07.1
15:07.1,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-73,15:07.1
15:07.1,AgileVision Beacon,E6:19:C3:98:50:7C,4,-76,15:07.1
15:07.1,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-67,15:07.1
15:07.3,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-90,15:07.3
15:07.4,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-67,15:07.4
15:07.5,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-81,15:07.5
15:07.5,AgileVision Beacon,D9:77:0F:A8:70:38,2,-83,15:07.5
15:07.5,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-70,15:07.5
15:07.5,AgileVision Beacon,E6:19:C3:98:50:7C,4,-69,15:07.5
15:07.6,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-91,15:07.6
15:07.8,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-68,15:07.8
15:07.9,AgileVision Beacon,D9:77:0F:A8:70:38,2,-83,15:07.9
15:07.9,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-69,15:07.9
15:07.9,AgileVision Beacon,E6:19:C3:98:50:7C,4,-69,15:07.9
